input,target,prediction,exact_match,bleu4
I can see a large cruise ship in the distance,Je peux voir un grand navire de croisière au loin,Je vois un navire au loin de la,False,0.06020559761878471
She is looking for her lost dog,Elle cherche son chien perdu,Elle cherche son chat perdu partout,False,0.21711852081087685
He finished his homework quickly,Il a fini ses devoirs rapidement,Il a oublié son mot de passe,False,0.06985342056580097
We prefer walking through the quiet botanical gardens,Nous préférons nous promener dans les jardins botaniques calmes,Nous avons regardé le lever de soleil les collines,False,0.028517539529041507
They visit museums often,Ils visitent souvent des musées,Ils parlent souvent des tendances,False,0.12574334296829354
The summer is very hot here,L'été est très chaud ici,Le est très pluvieux ici,False,0.12574334296829354
She works part-time at the library,Elle travaille à temps partiel à la bibliothèque,Elle travaille à plein temps à l'hôpital,False,0.16102307266026747
The snow is melting fast,La neige fond rapidement,La neige épaisse fond vite,False,0.12574334296829354
He answers the phone calls with a polite voice,Il répond aux appels téléphoniques d'une voix polie,Il a acheté un un groupe de jazz,False,0.02777619034011792
He drives a black sedan,Il conduit une berline noire,Il conduit une moto rouge,False,0.26591479484724945
The ice cream is melting,La glace fond,La soupe est trop vite,False,0.05372849659117709
We are planning a trip to London,Nous planifions un voyage à Londres,Nous planifions un voyage au Japon,False,0.5081327481546147
You have a beautiful smile,Tu as un beau sourire,Vous avez un un magnifique jardin,False,0.040824829046386304
The dynamic landscape is beautiful,Le paysage dynamique est magnifique,La soupe est très chaude,False,0.05372849659117709
The teacher answers the question,L'enseignant répond à la question,Le chien dort sur le tapis,False,0.0
They built a safe campfire near the lake,Ils ont fait un feu de camp sûr près du lac,Ils ont construit un grand mur de la propriété,False,0.04829027362797447
She makes delicious cakes,Elle fait de délicieux gâteaux,Elle danse avec un tableau,False,0.05372849659117709
They play soccer every weekend,Ils jouent au football chaque week-end,Ils s'entraînent au football tous les soirs,False,0.07730551756939454
The emergency room nurse told him to rest,L'infirmière des urgences lui a dit de se reposer,Le médecin m'a conseillé de me reposer,False,0.029519129053903102
They speak Spanish fluently,Ils parlent espagnol couramment,Ils parlent français avec,False,0.16990442448471224
The organic market opens at dawn on Saturdays,Le marché biologique ouvre à l'aube le samedi,Le train régional arrive à des légumes,False,0.034052233956373766
I look forward to the weekend,J'attends le week-end avec impatience,J'ai reçu de la radio à la,False,0.0
They read books at the library,Ils lisent des livres à la bibliothèque,Ils nourrissent les la tour de la,False,0.039281465090051315
They play basketball after school,Ils jouent au basket après l'école,Ils parlent souvent des tendances,False,0.0439891724758422
They listen to classical music,Ils écoutent de la musique classique,Ils écoutent la musique de la,False,0.14287202148493997
I need a new pair of shoes,J'ai besoin d'une nouvelle paire de chaussures,J'ai besoin besoin besoin d'une paire de chaussures de course,False,0.14772199911861214
I will call you later,Je t'appellerai plus tard,Je veux une chanson de la,False,0.040824829046386304
He works as a software engineer,Il travaille comme ingénieur logiciel,Il a acheté un beau en vert,False,0.033031643180138064
I forgot my umbrella,J'ai oublié mon parapluie,Je veux apprendre la pluie,False,0.0
He likes to watch historical documentaries on television,Il aime regarder des documentaires historiques à la télévision,Il écrit des scénarios des des séries des,False,0.02915032279375143
I lost my keys in the grass,J'ai perdu mes clés dans l'herbe,J'ai accidentellement laissé dans le dans le taxi,False,0.03303164318013808
The flight was delayed due to heavy fog,Le vol a été retardé en raison d'un brouillard épais,Le chocolat du a à des portes du se,False,0.025518615589394285
The monkey climbs the banana tree,Le simge grimpe sur le bananier,Le chat grimpe sur le grand arbre,False,0.17567205239427922
I am currently reading a classic Russian novel,Je lis actuellement un roman classique russe,Je lis un roman classique en or,False,0.20556680845025987
The children love chocolate,Les enfants adorent le chocolat,Le pain est trop des,False,0.0
They live near a beautiful lake,Ils vivent près d'un beau lac,Ils ont construit un magnifique en bois,False,0.033031643180138064
I see a helicopter flying over the city,Je vois un hélicoptère voler au-dessus de la ville,J'ai reçu une grande dans un immense,False,0.024822529802838878
She works in a laboratory,Elle travaille dans un laboratoire,Elle travaille dans un laboratoire chimique,False,0.7598356856515925
We are planning a trip to Rome,Nous planifions un voyage à Rome,Nous planifions un voyage au Japon,False,0.5081327481546147
We crossed the wide river using a wooden raft,Nous avons traversé la large rivière en utilisant un radeau en bois,Nous avons traversé les ruines de haute de la,False,0.09138232906466222
He drives an old green delivery truck,Il conduit un vieux camion de livraison vert,Il a perdu un camion vert de,False,0.042818417332128766
I cannot find my passport anywhere in the room,Je ne trouve mon passeport nulle part dans la chambre,J'ai accidentellement dans une grande dans le taxi,False,0.02163211878762423
They built a thick concrete wall for safety,Ils ont construit un épais mur en béton pour la sécurité,Ils ont construit un grand mur pour les arbres pour,False,0.2630501434025343
We need a bigger table,Nous avons besoin d'une plus grande table,Nous allons un un petit de,False,0.03455747170954952
She enjoys listening to classical music at night,Elle aime écouter de la musique classique la nuit,Elle travaille dans un feu de logiciels de la nuit,False,0.06311969078225892
The autumn weather is very rainy here,Le temps d'automne est très pluvieux ici,Le est très pluvieux ici,False,0.47398785011707933
The sleepy koala climbs the tall eucalyptus tree,Le koala endormi grimpe sur le grand eucalyptus,Le koala grimpe sur le grand arbre,False,0.42383656282787796
I received a letter from my friend,J'ai reçu une lettre de mon ami,Je lis une carte postale amusante de,False,0.039281465090051315
The weather forecast predicts heavy snow tomorrow,Les prévisions météo annoncent de fortes chutes de neige demain,Le café expresso du printemps demain matin,False,0.02151810250197126
I bought a new pair of leather boots today,J'ai acheté une nouvelle paire de bottes en cuir aujourd'hui,J'ai besoin d'une paire de chaussures de la,False,0.05062667121584364
He left his wallet at home,Il a laissé son portefeuille à la maison,Il a terminé son projet à sa maison,False,0.07386099955930606
He is searching everywhere for his lost wallet,Il cherche partout son portefeuille perdu,Il a perdu ses clés pour un,False,0.039281465090051315
